Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Cellular Components,20,GO:0022627,cytosolic small ribosomal subunit,,-7.6,17,11,30284,42,346,8,2.3,0.81,1654|2197|6191|6193|6204|6209|6217|6233,DDX3X|FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A,-5.3,MyList
WikiPathways,27,WP4290,Metabolic reprogramming in colon cancer,,-7.6,17,11,30284,42,346,8,2.3,0.81,2023|2194|5160|5162|5831|6472|8801|29920,ENO1|FASN|PDHA1|PDHB|PYCR1|SHMT2|SUCLG2|PYCR2,-5.3,MyList
Reactome Gene Sets,6,R-HSA-6790901,rRNA modification in the nucleus and cytosol,,-7.6,13,10,30284,59,346,9,2.6,0.86,1736|8602|51077|51118|54555|55505|55813|84135|88745,DKC1|NOP14|FCF1|UTP11|DDX49|NOP10|UTP6|UTP15|RRP36,-5.3,MyList
GO Molecular Functions,21,GO:0140674,ATP-dependent histone chaperone activity,,-7.6,7.5,8.6,30284,152,346,13,3.8,1,1654|8449|8653|9785|10111|11218|54555|56652|57062|57696|64794|79039|79665,DDX3X|DHX16|DDX3Y|DHX38|RAD50|DDX20|DDX49|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40,-5.3,MyList
GO Molecular Functions,21,GO:0015616,DNA translocase activity,,-7.6,7.5,8.6,30284,152,346,13,3.8,1,1654|8449|8653|9785|10111|11218|54555|56652|57062|57696|64794|79039|79665,DDX3X|DHX16|DDX3Y|DHX38|RAD50|DDX20|DDX49|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40,-5.3,MyList
GO Biological Processes,19,GO:0048285,organelle fission,19_GO:0009987 cellular process,-7.6,4.8,7.6,30284,348,346,19,5.5,1.2,472|4751|5347|6790|7272|8697|9493|9928|10051|10111|11004|22974|23212|29127|29781|81930|146909|259266|283489,ATM|NEK2|PLK1|AURKA|TTK|CDC23|KIF23|KIF14|SMC4|RAD50|KIF2C|TPX2|RRS1|RACGAP1|NCAPH2|KIF18A|KIF18B|ASPM|CHAMP1,-5.3,MyList
GO Molecular Functions,21,GO:0061775,cohesin loader activity,,-7.6,7.4,8.6,30284,153,346,13,3.8,1,1654|8449|8653|9785|10111|11218|54555|56652|57062|57696|64794|79039|79665,DDX3X|DHX16|DDX3Y|DHX38|RAD50|DDX20|DDX49|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40,-5.3,MyList
GO Cellular Components,20,GO:0072686,mitotic spindle,,-7.6,6.7,8.3,30284,182,346,14,4,1.1,2648|3550|5347|6790|9493|10383|22974|29127|51637|55689|79677|81930|146909|259266,KAT2A|IK|PLK1|AURKA|KIF23|TUBB4B|TPX2|RACGAP1|RTRAF|YEATS2|SMC6|KIF18A|KIF18B|ASPM,-5.3,MyList
Reactome Gene Sets,6,R-HSA-72766,Translation,,-7.5,5.3,7.8,30284,280,346,17,4.9,1.2,1938|2197|6169|6185|6191|6193|6204|6209|6217|6233|6730|7284|10102|26986|28998|29093|51067,EEF2|FAU|RPL38|RPN2|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|SRP68|TUFM|TSFM|PABPC1|MRPL13|MRPL22|YARS2,-5.2,MyList
GO Molecular Functions,21,GO:0004386,helicase activity,,-7.5,7.3,8.5,30284,155,346,13,3.8,1,1654|8449|8653|9785|10111|11218|54555|56652|57062|57696|64794|79039|79665,DDX3X|DHX16|DDX3Y|DHX38|RAD50|DDX20|DDX49|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40,-5.2,MyList
GO Cellular Components,20,GO:0000794,condensed nuclear chromosome,,-7.5,11,9.5,30284,81,346,10,2.9,0.9,3014|4751|5347|6839|10051|10111|10128|23212|29781|65083,H2AX|NEK2|PLK1|SUV39H1|SMC4|RAD50|LRPPRC|RRS1|NCAPH2|NOL6,-5.2,MyList
Reactome Gene Sets,6,R-HSA-427413,NoRC negatively regulates rRNA expression,,-7.5,9.3,9.1,30284,104,346,11,3.2,0.94,3014|3020|3065|5437|7270|7343|8340|8349|8932|9014|126961,H2AX|H3-3A|HDAC1|POLR2H|TTF1|UBTF|H2BC13|H2BC21|MBD2|TAF1B|H3C14,-5.2,MyList
Reactome Gene Sets,6,R-HSA-69275,G2/M Transition,,-7.5,7.2,8.4,30284,157,346,13,3.8,1,1454|3326|4751|5347|5700|5709|6233|6790|7846|10376|10383|22974|22994,CSNK1E|HSP90AB1|NEK2|PLK1|PSMC1|PSMD3|RPS27A|AURKA|TUBA1A|TUBA1B|TUBB4B|TPX2|CEP131,-5.2,MyList
GO Biological Processes,19,GO:1990542,mitochondrial transmembrane transport,19_GO:0051179 localization,-7.5,9.2,9,30284,105,346,11,3.2,0.94,1374|3313|3329|3708|7417|8604|9131|9804|10165|92609|221154,CPT1A|HSPA9|HSPD1|ITPR1|VDAC2|SLC25A12|AIFM1|TOMM20|SLC25A13|TIMM50|MICU2,-5.1,MyList
Reactome Gene Sets,6,R-HSA-1268020,Mitochondrial protein import,,-7.4,13,9.9,30284,62,346,9,2.6,0.86,498|506|3313|3329|8604|9804|10165|54927|92609,ATP5F1A|ATP5F1B|HSPA9|HSPD1|SLC25A12|TOMM20|SLC25A13|CHCHD3|TIMM50,-5.1,MyList
GO Molecular Functions,21,GO:0140658,ATP-dependent chromatin remodeler activity,,-7.4,7.2,8.4,30284,158,346,13,3.8,1,1654|8449|8653|9785|10111|11218|54555|56652|57062|57696|64794|79039|79665,DDX3X|DHX16|DDX3Y|DHX38|RAD50|DDX20|DDX49|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40,-5.1,MyList
Reactome Gene Sets,6,R-HSA-168273,Influenza Viral RNA Transcription and Replication,,-7.4,8,8.7,30284,131,346,12,3.5,0.98,2197|5431|5437|6169|6191|6193|6204|6209|6217|6233|9631|23225,FAU|POLR2B|POLR2H|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|NUP155|NUP210,-5.1,MyList
Reactome Gene Sets,6,R-HSA-453274,Mitotic G2-G2/M phases,,-7.4,7.2,8.4,30284,159,346,13,3.8,1,1454|3326|4751|5347|5700|5709|6233|6790|7846|10376|10383|22974|22994,CSNK1E|HSP90AB1|NEK2|PLK1|PSMC1|PSMD3|RPS27A|AURKA|TUBA1A|TUBA1B|TUBB4B|TPX2|CEP131,-5.1,MyList
GO Molecular Functions,21,GO:0044389,ubiquitin-like protein ligase binding,,-7.4,4.9,7.5,30284,322,346,18,5.2,1.2,71|550|2197|3301|3313|3326|3329|3716|6135|6233|6790|6950|9532|10128|10376|23197|55719|79677,ACTG1|AUP1|FAU|DNAJA1|HSPA9|HSP90AB1|HSPD1|JAK1|RPL11|RPS27A|AURKA|TCP1|BAG2|LRPPRC|TUBA1B|FAF2|SLF2|SMC6,-5.1,MyList
GO Biological Processes,19,GO:0006281,DNA repair,19_GO:0050896 response to stimulus,-7.4,3.9,7.1,30284,521,346,23,6.6,1.3,472|545|1025|1454|3014|5347|9100|9937|9960|10111|10293|10635|11143|11198|22890|22944|23137|54840|55719|55929|79677|254225|283106,ATM|ATR|CDK9|CSNK1E|H2AX|PLK1|USP10|DCLRE1A|USP3|RAD50|TRAIP|RAD51AP1|KAT7|SUPT16H|ZBTB1|KIN|SMC5|APTX|SLF2|DMAP1|SMC6|RNF169|CSNK2A3,-5.1,MyList
GO Molecular Functions,21,GO:0003689,DNA clamp loader activity,,-7.4,7.1,8.3,30284,160,346,13,3.8,1,1654|8449|8653|9785|10111|11218|54555|56652|57062|57696|64794|79039|79665,DDX3X|DHX16|DDX3Y|DHX38|RAD50|DDX20|DDX49|TWNK|DDX24|DDX55|DDX31|DDX54|DHX40,-5.1,MyList
CORUM,33,CORUM:338,"40S ribosomal subunit, cytoplasmic",,-7.3,20,11,30284,31,346,7,2,0.76,2197|6191|6193|6204|6209|6217|6233,FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A,-5,MyList
GO Cellular Components,20,GO:0031968,organelle outer membrane,,-7.3,5.4,7.7,30284,257,346,16,4.6,1.1,1374|2023|2181|3032|3313|3710|6233|7284|7417|9804|10128|10989|54927|80179|125988|192111,CPT1A|ENO1|ACSL3|HADHB|HSPA9|ITPR3|RPS27A|TUFM|VDAC2|TOMM20|LRPPRC|IMMT|CHCHD3|MYO19|MICOS13|PGAM5,-5,MyList
GO Cellular Components,20,GO:0005874,microtubule,,-7.3,4,7.1,30284,486,346,22,6.4,1.3,1453|3801|4751|4957|5347|6790|6950|7203|7846|9493|9532|9928|10128|10376|10383|10575|11004|22974|29127|81930|146909|259266,CSNK1D|KIFC3|NEK2|ODF2|PLK1|AURKA|TCP1|CCT3|TUBA1A|KIF23|BAG2|KIF14|LRPPRC|TUBA1B|TUBB4B|CCT4|KIF2C|TPX2|RACGAP1|KIF18A|KIF18B|ASPM,-5,MyList
Reactome Gene Sets,6,R-HSA-422475,Axon guidance,,-7.2,4.1,7.1,30284,446,346,21,6.1,1.3,71|1072|2197|3326|5700|5709|6169|6191|6193|6204|6209|6217|6233|6709|6712|7846|10093|10376|10383|10627|26986,ACTG1|CFL1|FAU|HSP90AB1|PSMC1|PSMD3|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|SPTAN1|SPTBN2|TUBA1A|ARPC4|TUBA1B|TUBB4B|MYL12A|PABPC1,-5,MyList
GO Cellular Components,20,GO:0019867,outer membrane,,-7.2,5.4,7.7,30284,259,346,16,4.6,1.1,1374|2023|2181|3032|3313|3710|6233|7284|7417|9804|10128|10989|54927|80179|125988|192111,CPT1A|ENO1|ACSL3|HADHB|HSPA9|ITPR3|RPS27A|TUFM|VDAC2|TOMM20|LRPPRC|IMMT|CHCHD3|MYO19|MICOS13|PGAM5,-5,MyList
Reactome Gene Sets,6,R-HSA-1592230,Mitochondrial biogenesis,,-7.2,10,9.1,30284,87,346,10,2.9,0.9,498|506|3313|5563|6742|10989|54927|56652|64216|125988,ATP5F1A|ATP5F1B|HSPA9|PRKAA2|SSBP1|IMMT|CHCHD3|TWNK|TFB2M|MICOS13,-4.9,MyList
GO Biological Processes,19,GO:0006282,regulation of DNA repair,19_GO:0050896 response to stimulus,-7.2,5.8,7.8,30284,227,346,15,4.3,1.1,545|708|1025|2648|3014|5347|6598|7913|8089|10635|11143|55719|55929|57332|254225,ATR|C1QBP|CDK9|KAT2A|H2AX|PLK1|SMARCB1|DEK|YEATS4|RAD51AP1|KAT7|SLF2|DMAP1|CBX8|RNF169,-4.9,MyList
Reactome Gene Sets,6,R-HSA-5250924,B-WICH complex positively regulates rRNA expression,,-7.2,9.9,9,30284,88,346,10,2.9,0.9,2648|3014|3020|4641|5437|7913|8340|8349|9014|126961,KAT2A|H2AX|H3-3A|MYO1C|POLR2H|DEK|H2BC13|H2BC21|TAF1B|H3C14,-4.9,MyList
GO Biological Processes,19,GO:0080135,regulation of cellular response to stress,19_GO:0050896 response to stimulus,-7.2,3.8,6.9,30284,535,346,23,6.6,1.3,472|545|708|1025|2023|2648|3014|3301|5347|5478|6598|7913|8089|10049|10635|11143|51616|55210|55719|55929|57332|79968|254225,ATM|ATR|C1QBP|CDK9|ENO1|KAT2A|H2AX|DNAJA1|PLK1|PPIA|SMARCB1|DEK|YEATS4|DNAJB6|RAD51AP1|KAT7|TAF9B|ATAD3A|SLF2|DMAP1|CBX8|WDR76|RNF169,-4.9,MyList
CORUM,33,CORUM:305,"40S ribosomal subunit, cytoplasmic",,-7.1,19,11,30284,33,346,7,2,0.76,2197|6191|6193|6204|6209|6217|6233,FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A,-4.8,MyList
Reactome Gene Sets,6,R-HSA-69306,DNA Replication,,-7.1,6.7,8,30284,169,346,13,3.8,1,3014|3020|4998|5001|5700|5709|6233|6742|8340|8349|8697|56652|126961,H2AX|H3-3A|ORC1|ORC5|PSMC1|PSMD3|RPS27A|SSBP1|H2BC13|H2BC21|CDC23|TWNK|H3C14,-4.8,MyList
Reactome Gene Sets,6,R-HSA-69620,Cell Cycle Checkpoints,,-6.9,5.5,7.5,30284,237,346,15,4.3,1.1,472|545|3014|4998|5001|5347|5700|5709|6233|8340|8349|8697|10111|11004|81930,ATM|ATR|H2AX|ORC1|ORC5|PLK1|PSMC1|PSMD3|RPS27A|H2BC13|H2BC21|CDC23|RAD50|KIF2C|KIF18A,-4.7,MyList
GO Biological Processes,19,GO:0006351,DNA-templated transcription,19_GO:0009987 cellular process,-6.9,3.7,6.8,30284,551,346,23,6.6,1.3,905|1025|5431|5437|6598|6606|6924|7270|7343|7913|9014|9646|11143|11198|22890|27316|51616|56652|64216|65056|79577|83741|144108,CCNT2|CDK9|POLR2B|POLR2H|SMARCB1|SMN1|ELOA|TTF1|UBTF|DEK|TAF1B|CTR9|KAT7|SUPT16H|ZBTB1|RBMX|TAF9B|TWNK|TFB2M|GPBP1|CDC73|TFAP2D|SPTY2D1,-4.7,MyList
Reactome Gene Sets,6,R-HSA-9675108,Nervous system development,,-6.9,3.9,6.9,30284,467,346,21,6.1,1.3,71|1072|2197|3326|5700|5709|6169|6191|6193|6204|6209|6217|6233|6709|6712|7846|10093|10376|10383|10627|26986,ACTG1|CFL1|FAU|HSP90AB1|PSMC1|PSMD3|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|SPTAN1|SPTBN2|TUBA1A|ARPC4|TUBA1B|TUBB4B|MYL12A|PABPC1,-4.7,MyList
Reactome Gene Sets,6,R-HSA-9735869,SARS-CoV-1 modulates host translation machinery,,-6.8,17,10,30284,36,346,7,2,0.76,2197|6191|6193|6204|6209|6217|6233,FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A,-4.6,MyList
Reactome Gene Sets,6,R-HSA-195258,RHO GTPase Effectors,,-6.8,5,7.3,30284,278,346,16,4.6,1.1,71|1072|3014|3020|5347|7846|8340|8349|9928|10093|10376|10383|10627|11004|81930|126961,ACTG1|CFL1|H2AX|H3-3A|PLK1|TUBA1A|H2BC13|H2BC21|KIF14|ARPC4|TUBA1B|TUBB4B|MYL12A|KIF2C|KIF18A|H3C14,-4.6,MyList
Reactome Gene Sets,6,R-HSA-68867,Assembly of the pre-replicative complex,,-6.8,7.9,8.2,30284,122,346,11,3.2,0.94,3014|3020|4998|5001|5700|5709|6233|8340|8349|8697|126961,H2AX|H3-3A|ORC1|ORC5|PSMC1|PSMD3|RPS27A|H2BC13|H2BC21|CDC23|H3C14,-4.5,MyList
Reactome Gene Sets,6,R-HSA-3214847,HATs acetylate histones,,-6.7,7.8,8.2,30284,123,346,11,3.2,0.94,2648|5931|7862|8089|8340|8349|11143|23774|55689|55929|126961,KAT2A|RBBP7|BRPF1|YEATS4|H2BC13|H2BC21|KAT7|BRD1|YEATS2|DMAP1|H3C14,-4.5,MyList
CORUM,33,CORUM:929,CEN complex,,-6.7,17,10,30284,37,346,7,2,0.76,1059|6045|9493|9785|11198|29127|57332,CENPB|RNF2|KIF23|DHX38|SUPT16H|RACGAP1|CBX8,-4.5,MyList
GO Biological Processes,19,GO:0051702,biological process involved in interaction with symbiont,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.7,7.8,8.1,30284,124,346,11,3.2,0.94,905|1025|1072|2194|3065|3329|6598|22938|23137|79677|117159,CCNT2|CDK9|CFL1|FASN|HDAC1|HSPD1|SMARCB1|SNW1|SMC5|SMC6|DCD,-4.5,MyList
Reactome Gene Sets,6,R-HSA-72649,Translation initiation complex formation,,-6.7,13,9.4,30284,55,346,8,2.3,0.81,2197|6191|6193|6204|6209|6217|6233|26986,FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|PABPC1,-4.5,MyList
GO Molecular Functions,21,GO:0042393,histone binding,,-6.7,5.3,7.3,30284,249,346,15,4.3,1.1,3014|4298|4300|4673|5931|7913|8089|9960|10771|23133|23774|55689|57332|64061|144108,H2AX|MLLT1|MLLT3|NAP1L1|RBBP7|DEK|YEATS4|USP3|ZMYND11|PHF8|BRD1|YEATS2|CBX8|TSPYL2|SPTY2D1,-4.4,MyList
Reactome Gene Sets,6,R-HSA-1428517,Aerobic respiration and respiratory electron transport,,-6.6,5.3,7.3,30284,250,346,15,4.3,1.1,498|506|1347|2108|3313|5160|5162|6233|6389|8604|8801|10131|10165|25994|192111,ATP5F1A|ATP5F1B|COX7A2|ETFA|HSPA9|PDHA1|PDHB|RPS27A|SDHA|SLC25A12|SUCLG2|TRAP1|SLC25A13|HIGD1A|PGAM5,-4.4,MyList
Reactome Gene Sets,6,R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",,-6.6,13,9.3,30284,56,346,8,2.3,0.81,2197|6191|6193|6204|6209|6217|6233|26986,FAU|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|PABPC1,-4.4,MyList
Reactome Gene Sets,6,R-HSA-3247509,Chromatin modifying enzymes,,-6.6,5.6,7.4,30284,217,346,14,4,1.1,2648|3014|3065|5931|6839|7862|8089|8340|8349|11143|23774|55689|55929|126961,KAT2A|H2AX|HDAC1|RBBP7|SUV39H1|BRPF1|YEATS4|H2BC13|H2BC21|KAT7|BRD1|YEATS2|DMAP1|H3C14,-4.4,MyList
Reactome Gene Sets,6,R-HSA-4839726,Chromatin organization,,-6.6,5.6,7.4,30284,217,346,14,4,1.1,2648|3014|3065|5931|6839|7862|8089|8340|8349|11143|23774|55689|55929|126961,KAT2A|H2AX|HDAC1|RBBP7|SUV39H1|BRPF1|YEATS4|H2BC13|H2BC21|KAT7|BRD1|YEATS2|DMAP1|H3C14,-4.4,MyList
Reactome Gene Sets,6,R-HSA-2559583,Cellular Senescence,,-6.6,6.8,7.8,30284,155,346,12,3.5,0.98,472|3014|3020|5931|6045|6233|8340|8349|8697|10111|57332|126961,ATM|H2AX|H3-3A|RBBP7|RNF2|RPS27A|H2BC13|H2BC21|CDC23|RAD50|CBX8|H3C14,-4.4,MyList
Reactome Gene Sets,6,R-HSA-9006931,Signaling by Nuclear Receptors,,-6.6,5.2,7.2,30284,253,346,15,4.3,1.1,1025|1509|2194|2773|3014|3020|3065|3326|5160|5162|5431|5437|8340|8349|126961,CDK9|CTSD|FASN|GNAI3|H2AX|H3-3A|HDAC1|HSP90AB1|PDHA1|PDHB|POLR2B|POLR2H|H2BC13|H2BC21|H3C14,-4.4,MyList
GO Biological Processes,19,GO:0050658,RNA transport,19_GO:0051179 localization,-6.6,6.7,7.7,30284,156,346,12,3.5,0.98,8087|9631|9804|10128|10211|10643|23225|29890|51637|65083|84248|91746,FXR1|NUP155|TOMM20|LRPPRC|FLOT1|IGF2BP3|NUP210|RBM15B|RTRAF|NOL6|FYTTD1|YTHDC1,-4.4,MyList
GO Biological Processes,19,GO:0050657,nucleic acid transport,19_GO:0051179 localization,-6.6,6.7,7.7,30284,156,346,12,3.5,0.98,8087|9631|9804|10128|10211|10643|23225|29890|51637|65083|84248|91746,FXR1|NUP155|TOMM20|LRPPRC|FLOT1|IGF2BP3|NUP210|RBM15B|RTRAF|NOL6|FYTTD1|YTHDC1,-4.4,MyList
GO Biological Processes,19,GO:0043484,regulation of RNA splicing,19_GO:0050789 regulation of biological process,-6.6,6.1,7.5,30284,187,346,13,3.8,1,708|2648|6625|11338|22938|27316|29890|29896|55234|57703|64783|91746|494115,C1QBP|KAT2A|SNRNP70|U2AF2|SNW1|RBMX|RBM15B|TRA2A|SMU1|CWC22|RBM15|YTHDC1|RBMXL1,-4.4,MyList
Reactome Gene Sets,6,R-HSA-3371556,Cellular response to heat stress,,-6.6,10,8.7,30284,78,346,9,2.6,0.86,472|545|3313|3326|9532|9631|23225|91582|259217,ATM|ATR|HSPA9|HSP90AB1|BAG2|NUP155|NUP210|RPS19BP1|HSPA12A,-4.4,MyList
GO Biological Processes,19,GO:0000226,microtubule cytoskeleton organization,19_GO:0009987 cellular process,-6.6,3.5,6.5,30284,578,346,23,6.6,1.3,1072|1453|4751|4957|5347|6566|6790|7272|7846|9493|10376|10383|11004|22974|22994|29127|55700|55726|79649|81930|146909|259266|339829,CFL1|CSNK1D|NEK2|ODF2|PLK1|SLC16A1|AURKA|TTK|TUBA1A|KIF23|TUBA1B|TUBB4B|KIF2C|TPX2|CEP131|RACGAP1|MAP7D1|INTS13|MAP7D3|KIF18A|KIF18B|ASPM|CCDC39,-4.4,MyList
CORUM,33,CORUM:1181,C complex spliceosome,,-6.5,10,8.6,30284,79,346,9,2.6,0.86,8220|9785|10283|22938|24148|26986|27316|55094|57703,ESS2|DHX38|CWC27|SNW1|PRPF6|PABPC1|RBMX|GPATCH1|CWC22,-4.3,MyList
Reactome Gene Sets,6,R-HSA-8852276,The role of GTSE1 in G2/M progression after G2 checkpoint,,-6.5,12,9.1,30284,58,346,8,2.3,0.81,3326|5347|5700|5709|6233|7846|10376|10383,HSP90AB1|PLK1|PSMC1|PSMD3|RPS27A|TUBA1A|TUBA1B|TUBB4B,-4.3,MyList
Reactome Gene Sets,6,R-HSA-389960,Formation of tubulin folding intermediates by CCT/TriC,,-6.5,21,11,30284,25,346,6,1.7,0.7,6950|7203|7846|10376|10383|10575,TCP1|CCT3|TUBA1A|TUBA1B|TUBB4B|CCT4,-4.3,MyList
GO Molecular Functions,21,GO:0140662,ATP-dependent protein folding chaperone,,-6.5,15,9.7,30284,40,346,7,2,0.76,3313|3326|3329|6950|7203|10131|10575,HSPA9|HSP90AB1|HSPD1|TCP1|CCT3|TRAP1|CCT4,-4.3,MyList
CORUM,33,CORUM:306,"Ribosome, cytoplasmic",,-6.5,9.8,8.5,30284,80,346,9,2.6,0.86,2197|6135|6169|6191|6193|6204|6209|6217|6233,FAU|RPL11|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A,-4.3,MyList
Reactome Gene Sets,6,R-HSA-9018519,Estrogen-dependent gene expression,,-6.5,7.3,7.8,30284,131,346,11,3.2,0.94,1025|1509|3014|3020|3065|3326|5431|5437|8340|8349|126961,CDK9|CTSD|H2AX|H3-3A|HDAC1|HSP90AB1|POLR2B|POLR2H|H2BC13|H2BC21|H3C14,-4.3,MyList
Reactome Gene Sets,6,R-HSA-69481,G2/M Checkpoints,,-6.4,7.3,7.8,30284,132,346,11,3.2,0.94,472|545|3014|4998|5001|5700|5709|6233|8340|8349|10111,ATM|ATR|H2AX|ORC1|ORC5|PSMC1|PSMD3|RPS27A|H2BC13|H2BC21|RAD50,-4.2,MyList
Reactome Gene Sets,6,R-HSA-6804756,Regulation of TP53 Activity through Phosphorylation,,-6.4,9.7,8.5,30284,81,346,9,2.6,0.86,472|545|5563|6233|6790|10111|11198|22974|51616,ATM|ATR|PRKAA2|RPS27A|AURKA|RAD50|SUPT16H|TPX2|TAF9B,-4.2,MyList
GO Biological Processes,19,GO:0006360,transcription by RNA polymerase I,19_GO:0009987 cellular process,-6.4,15,9.6,30284,41,346,7,2,0.76,5431|5437|6598|7270|7343|9014|144108,POLR2B|POLR2H|SMARCB1|TTF1|UBTF|TAF1B|SPTY2D1,-4.2,MyList
Reactome Gene Sets,6,R-HSA-71291,Metabolism of amino acids and derivatives,,-6.4,4.4,6.8,30284,336,346,17,4.9,1.2,1373|1468|2197|5700|5709|5831|6169|6191|6193|6204|6209|6217|6233|8604|10165|26227|29920,CPS1|SLC25A10|FAU|PSMC1|PSMD3|PYCR1|RPL38|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|SLC25A12|SLC25A13|PHGDH|PYCR2,-4.2,MyList
GO Biological Processes,19,GO:0032212,positive regulation of telomere maintenance via telomerase,19_GO:0048518 positive regulation of biological process,-6.4,20,11,30284,26,346,6,1.7,0.7,472|545|1736|6950|7203|10575,ATM|ATR|DKC1|TCP1|CCT3|CCT4,-4.2,MyList
GO Cellular Components,20,GO:0000792,heterochromatin,,-6.4,9.6,8.4,30284,82,346,9,2.6,0.86,1059|3065|6045|6839|6950|8932|11177|57332|79968,CENPB|HDAC1|RNF2|SUV39H1|TCP1|MBD2|BAZ1A|CBX8|WDR76,-4.2,MyList
Reactome Gene Sets,6,R-HSA-3371453,Regulation of HSF1-mediated heat shock response,,-6.3,11,8.8,30284,61,346,8,2.3,0.81,472|545|3313|9532|9631|23225|91582|259217,ATM|ATR|HSPA9|BAG2|NUP155|NUP210|RPS19BP1|HSPA12A,-4.2,MyList
GO Biological Processes,19,GO:0044403,biological process involved in symbiotic interaction,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.3,4.9,6.9,30284,267,346,15,4.3,1.1,905|1025|1072|2194|3065|3326|3329|3839|5478|6598|9213|22938|23137|79677|117159,CCNT2|CDK9|CFL1|FASN|HDAC1|HSP90AB1|HSPD1|KPNA3|PPIA|SMARCB1|XPR1|SNW1|SMC5|SMC6|DCD,-4.1,MyList
Reactome Gene Sets,6,R-HSA-8854518,AURKA Activation by TPX2,,-6.3,11,8.7,30284,62,346,8,2.3,0.81,1454|4751|5347|6790|7846|10383|22974|22994,CSNK1E|NEK2|PLK1|AURKA|TUBA1A|TUBB4B|TPX2|CEP131,-4.1,MyList
Reactome Gene Sets,6,R-HSA-73762,RNA Polymerase I Transcription Initiation,,-6.3,14,9.3,30284,43,346,7,2,0.76,2648|3065|5437|5931|7270|7343|9014,KAT2A|HDAC1|POLR2H|RBBP7|TTF1|UBTF|TAF1B,-4.1,MyList
GO Biological Processes,19,GO:0035384,thioester biosynthetic process,19_GO:0009987 cellular process,-6.3,14,9.3,30284,43,346,7,2,0.76,2181|2194|5160|5162|9524|60481|64834,ACSL3|FASN|PDHA1|PDHB|TECR|ELOVL5|ELOVL1,-4.1,MyList
GO Biological Processes,19,GO:0071616,acyl-CoA biosynthetic process,19_GO:0009987 cellular process,-6.3,14,9.3,30284,43,346,7,2,0.76,2181|2194|5160|5162|9524|60481|64834,ACSL3|FASN|PDHA1|PDHB|TECR|ELOVL5|ELOVL1,-4.1,MyList
Reactome Gene Sets,6,R-HSA-69002,DNA Replication Pre-Initiation,,-6.3,7,7.6,30284,137,346,11,3.2,0.94,3014|3020|4998|5001|5700|5709|6233|8340|8349|8697|126961,H2AX|H3-3A|ORC1|ORC5|PSMC1|PSMD3|RPS27A|H2BC13|H2BC21|CDC23|H3C14,-4.1,MyList
GO Biological Processes,19,GO:0051983,regulation of chromosome segregation,19_GO:0050789 regulation of biological process,-6.3,7,7.6,30284,137,346,11,3.2,0.94,472|3550|5347|6598|7272|8697|10051|11004|23137|29781|79677,ATM|IK|PLK1|SMARCB1|TTK|CDC23|SMC4|KIF2C|SMC5|NCAPH2|SMC6,-4.1,MyList
KEGG Pathway,24,hsa05012,Parkinson disease,,-6.2,4.8,6.8,30284,271,346,15,4.3,1.1,498|506|1347|2773|3708|3710|5700|5709|6233|6389|7417|7846|10131|10376|10383,ATP5F1A|ATP5F1B|COX7A2|GNAI3|ITPR1|ITPR3|PSMC1|PSMD3|RPS27A|SDHA|VDAC2|TUBA1A|TRAP1|TUBA1B|TUBB4B,-4.1,MyList
Reactome Gene Sets,6,R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,,-6.2,7.8,7.8,30284,112,346,10,2.9,0.9,2197|6169|6185|6191|6193|6204|6209|6217|6233|6730,FAU|RPL38|RPN2|RPS4X|RPS5|RPS10|RPS15|RPS16|RPS27A|SRP68,-4,MyList
GO Biological Processes,19,GO:0034728,nucleosome organization,19_GO:0009987 cellular process,-6.2,6.9,7.5,30284,140,346,11,3.2,0.94,3014|3020|4673|6598|8340|8349|11177|11198|64061|126961|144108,H2AX|H3-3A|NAP1L1|SMARCB1|H2BC13|H2BC21|BAZ1A|SUPT16H|TSPYL2|H3C14|SPTY2D1,-4,MyList
