GO	Description	Category	CategoryID
R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	Reactome Gene Sets	DNA Repair
R-HSA-6803529	FGFR2 alternative splicing	Reactome Gene Sets	RNA Splicing and maturation
R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	Reactome Gene Sets	Cell Cycle
R-HSA-6807505	RNA polymerase II transcribes snRNA genes	Reactome Gene Sets	Pol II processing
R-HSA-68616	Assembly of the ORC complex at the origin of replication	Reactome Gene Sets	DNA replication
R-HSA-68886	M Phase	Reactome Gene Sets	Cell Cycle
R-HSA-69278	"Cell Cycle, Mitotic"	Reactome Gene Sets	Cell Cycle
R-HSA-69473	G2/M DNA damage checkpoint	Reactome Gene Sets	Cell Cycle
R-HSA-69481	G2/M Checkpoints	Reactome Gene Sets	Cell Cycle
R-HSA-69620	Cell Cycle Checkpoints	Reactome Gene Sets	Cell Cycle
R-HSA-72172	mRNA Splicing	Reactome Gene Sets	RNA Splicing and maturation
R-HSA-72202	Transport of Mature Transcript to Cytoplasm	Reactome Gene Sets	Transport
R-HSA-72613	Eukaryotic Translation Initiation	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72649	Translation initiation complex formation	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72689	Formation of a pool of free 40S subunits	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72702	Ribosomal scanning and start codon recognition	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72737	Cap-dependent Translation Initiation	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72764	Eukaryotic Translation Termination	Reactome Gene Sets	Ribosome biogenesis
R-HSA-72766	Translation	Reactome Gene Sets	Ribosome biogenesis
R-HSA-73728	RNA Polymerase I Promoter Opening	Reactome Gene Sets	Pol I processing
R-HSA-73762	RNA Polymerase I Transcription Initiation	Reactome Gene Sets	Pol I processing
R-HSA-73772	RNA Polymerase I Promoter Escape	Reactome Gene Sets	Pol I processing
R-HSA-73780	RNA Polymerase III Chain Elongation	Reactome Gene Sets	Pol III processing
R-HSA-73854	RNA Polymerase I Promoter Clearance	Reactome Gene Sets	Pol I processing
R-HSA-73856	RNA Polymerase II Transcription Termination	Reactome Gene Sets	Pol II processing
R-HSA-73863	RNA Polymerase I Transcription Termination	Reactome Gene Sets	Pol I processing
R-HSA-73864	RNA Polymerase I Transcription	Reactome Gene Sets	Pol I processing
R-HSA-73886	Chromosome Maintenance	Reactome Gene Sets	Chromatin stablity
R-HSA-73894	DNA Repair	Reactome Gene Sets	DNA Repair
R-HSA-73929	"Base-Excision Repair, AP Site Formation"	Reactome Gene Sets	DNA Repair
R-HSA-73980	RNA Polymerase III Transcription Termination	Reactome Gene Sets	Pol III processing
R-HSA-74158	RNA Polymerase III Transcription	Reactome Gene Sets	Pol III processing
R-HSA-749476	RNA Polymerase III Abortive And Retractive Initiation	Reactome Gene Sets	Pol III processing
R-HSA-75955	RNA Polymerase II Transcription Elongation	Reactome Gene Sets	Pol II processing
R-HSA-76046	RNA Polymerase III Transcription Initiation	Reactome Gene Sets	Pol III processing
R-HSA-76061	RNA Polymerase III Transcription Initiation From Type 1 Promoter	Reactome Gene Sets	Pol III processing
R-HSA-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	Reactome Gene Sets	Pol III processing
R-HSA-76071	RNA Polymerase III Transcription Initiation From Type 3 Promoter	Reactome Gene Sets	Pol III processing
R-HSA-8853884	Transcriptional Regulation by VENTX	Reactome Gene Sets	Transcriptional Regulation
R-HSA-8864260	Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	Reactome Gene Sets	Transcriptional Regulation
R-HSA-8878171	Transcriptional regulation by RUNX1	Reactome Gene Sets	Transcriptional Regulation
R-HSA-8943723	Regulation of PTEN mRNA translation	Reactome Gene Sets	Ribosome biogenesis
R-HSA-8943724	Regulation of PTEN gene transcription	Reactome Gene Sets	Transcriptional Regulation
R-HSA-8948700	Competing endogenous RNAs (ceRNAs) regulate PTEN translation	Reactome Gene Sets	Ribosome biogenesis
R-HSA-8953750	Transcriptional Regulation by E2F6	Reactome Gene Sets	Transcriptional Regulation
R-HSA-8953897	Cellular responses to stimuli	Reactome Gene Sets	Cellular responses to stress
R-HSA-8986944	Transcriptional Regulation by MECP2	Reactome Gene Sets	Transcriptional Regulation
R-HSA-913531	Interferon Signaling	Reactome Gene Sets	Cellular responses to stress
R-HSA-927802	Nonsense-Mediated Decay (NMD)	Reactome Gene Sets	RNA stabilization and catabolic process
R-HSA-9616222	Transcriptional regulation of granulopoiesis	Reactome Gene Sets	Transcriptional Regulation
R-HSA-9670095	Inhibition of DNA recombination at telomere	Reactome Gene Sets	Chromatin stablity
R-HSA-9675135	Diseases of DNA repair	Reactome Gene Sets	DNA Repair
R-HSA-9675136	Diseases of DNA Double-Strand Break Repair	Reactome Gene Sets	DNA Repair
R-HSA-9701192	Defective HDR through Homologous Recombination (HRR) due to BRCA1 loss-of-function	Reactome Gene Sets	DNA Repair
R-HSA-9701193	Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function	Reactome Gene Sets	DNA Repair
R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	Reactome Gene Sets	DNA Repair
R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	Reactome Gene Sets	DNA Repair
R-HSA-9711097	Cellular response to starvation	Reactome Gene Sets	Cellular responses to stress
